,PMAbs,GRAbs,PMID,0
0,"Exercise training is the cornerstone in the prevention and management of hypertension and atherosclerotic cardiovascular disease. However, blood pressure (BP) response to exercise is exaggerated in hypertension often to the range that raises the safety concern, which may prohibit patients from regular exercise. This augmented pressor response is shown to be related to excessive sympathetic stimulation caused by overactive muscle reflex. Exaggerated sympathetic-mediated vasoconstriction further contributes to the rise in BP during exercise in hypertension. Exercise training has been shown to reduce both exercise pressor reflex and attenuate the abnormal vasoconstriction. Hypertension also contributes to cognitive impairment, and exercise training has been shown to improve cognitive function through both BP-dependent and BP-independent pathways. Additional studies are still needed to determine if newer modes of exercise training such as high-intensity interval training may offer advantages over traditional continuous moderate training in improving BP and brain health in hypertensive patients.","DESCRIPTION (provided by applicant): Hypertensive patients are known to display exaggerated rise in blood pressure (BP) during exercise but the underlying mechanisms are poorly understood. Normally, exercise is accompanied by decreased parasympathetic activity and increased sympathetic activity caused by central command and activation of thin fiber muscle afferents that reflexively increase sympathetic outflow and BP. Traditionally, muscle afferents were dichotomized as metaboreceptors, which are activated slowly and only during intense or ischemic muscle contraction, or mechanoreceptors, which respond quickly to even mild deformation of their receptive fields. The increase in SNA and BP caused by activation of these receptors, known as exercise pressor reflex, is normally buffered by activation arterial baroreceptors, which are reset to operate at higher BP range but at the same level of sensitivity. Our recent work in spontaneously hypertensive rats (SHR) and patients with essential hypertension indicated an exaggerated rise in sympathetic nerve activity (SNA) and BP during muscle contraction even in the absence of congestive heart failure. Furthermore, the latency of the sympathetic response during exercise is much shorter than normal and the threshold level of exercise intensity required to increase muscle SNA is much lower than normal, implicating mechanoreceptor mediation. Mechanisms responsible for overactive exercise pressor reflex (EPR) in hypertension remain unknown but an increasing body of evidence suggested a role for aldosterone in regulating resting central sympathetic outflow in both hypertensive rats and humans. Furthermore, local aldosterone synthesis in the brain has been shown to contribute to sympathetic activation and hypertension in the SHRs and Dahl-salt sensitive rats despite normal circulating levels of aldosterone. Whether aldosterone contributes to excessive sympathoexcitation and BP elevation during exercise remains unknown. Our pilot data in hypertensive rats and humans with normal and elevated serum aldosterone levels demonstrated a major role of aldosterone on exercise pressor reflex via mechanoreflex sensitization. Therefore, we now propose parallel translational studies in hypertensive rats and patients with primary hypertension and secondary form of hypertension caused by adrenal overproduction of aldosterone (primary aldosteronism), using multiple interventions to directly activate muscle mechanoreceptors, metaboreceptors, or arterial baroreceptors during exercise and microelectrode recordings of SNA to measure the reflex response. The distinctive features of this proposal include: (1) the use of state-of- the-art techniques (microelectrode recordings of SNA) to directly test mechanistic hypotheses in conscious humans; (2) assessment of mechanoreflex using a new paradigm which is developed in our laboratory which evokes sustained elevation in SNA and BP than other methods previously described in humans; and (3) the use of complimentary approach to asses central vs. peripheral effects of aldosterone on neural control of circulation during muscle contraction in the hypertensive rats.",26341655,0.535842489405029
1,To determine usefulness and versatility of hydrochlorothiazide (HCTZ) relative to other thiazide diuretics in the treatment of hypertension.,"DESCRIPTION (provided by applicant): Hypertensive patients are known to display exaggerated rise in blood pressure (BP) during exercise but the underlying mechanisms are poorly understood. Normally, exercise is accompanied by decreased parasympathetic activity and increased sympathetic activity caused by central command and activation of thin fiber muscle afferents that reflexively increase sympathetic outflow and BP. Traditionally, muscle afferents were dichotomized as metaboreceptors, which are activated slowly and only during intense or ischemic muscle contraction, or mechanoreceptors, which respond quickly to even mild deformation of their receptive fields. The increase in SNA and BP caused by activation of these receptors, known as exercise pressor reflex, is normally buffered by activation arterial baroreceptors, which are reset to operate at higher BP range but at the same level of sensitivity. Our recent work in spontaneously hypertensive rats (SHR) and patients with essential hypertension indicated an exaggerated rise in sympathetic nerve activity (SNA) and BP during muscle contraction even in the absence of congestive heart failure. Furthermore, the latency of the sympathetic response during exercise is much shorter than normal and the threshold level of exercise intensity required to increase muscle SNA is much lower than normal, implicating mechanoreceptor mediation. Mechanisms responsible for overactive exercise pressor reflex (EPR) in hypertension remain unknown but an increasing body of evidence suggested a role for aldosterone in regulating resting central sympathetic outflow in both hypertensive rats and humans. Furthermore, local aldosterone synthesis in the brain has been shown to contribute to sympathetic activation and hypertension in the SHRs and Dahl-salt sensitive rats despite normal circulating levels of aldosterone. Whether aldosterone contributes to excessive sympathoexcitation and BP elevation during exercise remains unknown. Our pilot data in hypertensive rats and humans with normal and elevated serum aldosterone levels demonstrated a major role of aldosterone on exercise pressor reflex via mechanoreflex sensitization. Therefore, we now propose parallel translational studies in hypertensive rats and patients with primary hypertension and secondary form of hypertension caused by adrenal overproduction of aldosterone (primary aldosteronism), using multiple interventions to directly activate muscle mechanoreceptors, metaboreceptors, or arterial baroreceptors during exercise and microelectrode recordings of SNA to measure the reflex response. The distinctive features of this proposal include: (1) the use of state-of- the-art techniques (microelectrode recordings of SNA) to directly test mechanistic hypotheses in conscious humans; (2) assessment of mechanoreflex using a new paradigm which is developed in our laboratory which evokes sustained elevation in SNA and BP than other methods previously described in humans; and (3) the use of complimentary approach to asses central vs. peripheral effects of aldosterone on neural control of circulation during muscle contraction in the hypertensive rats.",26049382,0.37367719087469553
2,"The host protein CPSF6 possesses a domain that can interact with the HIV-1 capsid (CA) protein. CPSF6 has been implicated in regulating HIV-1 nuclear entry. However, its functional significance for HIV-1 replication has yet to be firmly established. Here we provide evidence for two divergent functions of CPSF6 for HIV-1 replication in vivo. We demonstrate that endogenous CPSF6 exerts an inhibitory effect on naturally occurring HIV-1 variants in individuals carrying the HLA-B27 allele. Conversely, we find a strong selective pressure in these individuals to preserve CPSF6 binding, while escaping from the restrictive activity by CPSF6. This active maintenance of CPSF6 binding during HIV-1 CA evolution in vivo contrasts with the in vitro viral evolution, which can reduce CPSF6 binding to evade from CPSF6-mediated restriction. Thus, these observations argue for a beneficial role of CPSF6 for HIV-1 in vivo. CPSF6-mediated restriction renders HIV-1 less dependent or independent from TNPO3, RanBP2 and Nup153, host factors implicated in HIV-1 nuclear entry. However, viral evolution that maintains CPSF6 binding in HLA-B27+ subjects invariably restores the ability to utilize these host factors, which may be the major selective pressure for CPSF6 binding in vivo. Our study uncovers two opposing CA-dependent functions of CPSF6 in HIV-1 replication in vivo; however, the benefit for binding CPSF6 appears to outweigh the cost, providing support for a vital function of CPSF6 during HIV-1 replication in vivo.","DESCRIPTION (provided by applicant): HIV-1 infection depends on a series of molecular events involving biochemical interactions between viral components and host factors, resulting in fusion of viral and host membranes, reverse transcription, uncoating, nuclear entry, and integration. A key knowledge gap in the early stages of infection is the role of the viral capsid i facilitating reverse transcription. Mutations in the CA protein that destabilize the viral capsid result in impaired reverse transcription, indicating that the integrity of the viral capsid is critcal for efficient viral DNA synthesis. HIV-1 reverse transcriptase is a low processivity enzyme and dissociates from the template during strand transfer steps of reverse transcription. Employing a biochemical approach involving purified HIV-1 cores, we will test the hypothesis that the viral capsid serves as a vessel to maintain the local concentration of RT during reverse transcription and will study the role of restrictive host factors in HIV-1 capsid recognition and uncoating. We will also identify novel host factors that bind the HIV-1 capsid. The work will be organized by the following Specific Aims: Aim 1. To determine the mechanism by which the viral capsid facilitates HIV-1 reverse transcription. Aim 2. Identification of intersubunit interfaces critical for HIV-1 uncoating. Aim 3. To determine the effect of CPSF6-358 on HIV-1 uncoating. Aim 4. To determine the stoichiometric requirement for functional capsid recognition by TRIM5 restriction factors. Aim 5. Identification of novel capsid-interacting host factors. These studies will answer  fundamental question in retrovirus biology and will clarify the mechanisms of restriction by endogenous host cell factors.",24415937,0.4133295442958471
3,"The host protein CPSF6 possesses a domain that can interact with the HIV-1 capsid (CA) protein. CPSF6 has been implicated in regulating HIV-1 nuclear entry. However, its functional significance for HIV-1 replication has yet to be firmly established. Here we provide evidence for two divergent functions of CPSF6 for HIV-1 replication in vivo. We demonstrate that endogenous CPSF6 exerts an inhibitory effect on naturally occurring HIV-1 variants in individuals carrying the HLA-B27 allele. Conversely, we find a strong selective pressure in these individuals to preserve CPSF6 binding, while escaping from the restrictive activity by CPSF6. This active maintenance of CPSF6 binding during HIV-1 CA evolution in vivo contrasts with the in vitro viral evolution, which can reduce CPSF6 binding to evade from CPSF6-mediated restriction. Thus, these observations argue for a beneficial role of CPSF6 for HIV-1 in vivo. CPSF6-mediated restriction renders HIV-1 less dependent or independent from TNPO3, RanBP2 and Nup153, host factors implicated in HIV-1 nuclear entry. However, viral evolution that maintains CPSF6 binding in HLA-B27+ subjects invariably restores the ability to utilize these host factors, which may be the major selective pressure for CPSF6 binding in vivo. Our study uncovers two opposing CA-dependent functions of CPSF6 in HIV-1 replication in vivo; however, the benefit for binding CPSF6 appears to outweigh the cost, providing support for a vital function of CPSF6 during HIV-1 replication in vivo.","DESCRIPTION (provided by applicant): HIV-1 infection depends on a series of molecular events involving biochemical interactions between viral components and host factors, resulting in fusion of viral and host membranes, reverse transcription, uncoating, nuclear entry, and integration. A key knowledge gap in the early stages of infection is the role of the viral capsid i facilitating reverse transcription. Mutations in the CA protein that destabilize the viral capsid result in impaired reverse transcription, indicating that the integrity of the viral capsid is critcal for efficient viral DNA synthesis. HIV-1 reverse transcriptase is a low processivity enzyme and dissociates from the template during strand transfer steps of reverse transcription. Employing a biochemical approach involving purified HIV-1 cores, we will test the hypothesis that the viral capsid serves as a vessel to maintain the local concentration of RT during reverse transcription and will study the role of restrictive host factors in HIV-1 capsid recognition and uncoating. We will also identify novel host factors that bind the HIV-1 capsid. The work will be organized by the following Specific Aims: Aim 1. To determine the mechanism by which the viral capsid facilitates HIV-1 reverse transcription. Aim 2. Identification of intersubunit interfaces critical for HIV-1 uncoating. Aim 3. To determine the effect of CPSF6-358 on HIV-1 uncoating. Aim 4. To determine the stoichiometric requirement for functional capsid recognition by TRIM5 restriction factors. Aim 5. Identification of novel capsid-interacting host factors. These studies will answer  fundamental question in retrovirus biology and will clarify the mechanisms of restriction by endogenous host cell factors.",24415937,0.47193407745288735
4,"HIV-1 replication can be inhibited by type I interferon (IFN), and the expression of a number of gene products with anti-HIV-1 activity is induced by type I IFN. However, none of the known antiretroviral proteins can account for the ability of type I IFN to inhibit early, preintegration phases of the HIV-1 replication cycle in human cells. Here, by comparing gene expression profiles in cell lines that differ in their ability to support the inhibitory action of IFN-ÃÂ± at early steps of the HIV-1 replication cycle, we identify myxovirus resistance 2 (MX2) as an interferon-induced inhibitor of HIV-1 infection. Expression of MX2 reduces permissiveness to a variety of lentiviruses, whereas depletion of MX2 using RNA interference reduces the anti-HIV-1 potency of IFN-ÃÂ±. HIV-1 reverse transcription proceeds normally in MX2-expressing cells, but 2-long terminal repeat circular forms of HIV-1 DNA are less abundant, suggesting that MX2 inhibits HIV-1 nuclear import, or destabilizes nuclear HIV-1 DNA. Consistent with this notion, mutations in the HIV-1 capsid protein that are known, or suspected, to alter the nuclear import pathways used by HIV-1 confer resistance to MX2, whereas preventing cell division increases MX2 potency. Overall, these findings indicate that MX2 is an effector of the anti-HIV-1 activity of type-I IFN, and suggest that MX2 inhibits HIV-1 infection by inhibiting capsid-dependent nuclear import of subviral complexes.","DESCRIPTION (provided by applicant): HIV-1, the predominant cause of AIDS in humans, is unable to replicate in most non-human species. Therefore, the most practical animal model of human AIDS consists of infection of rhesus macaques with SIVMAC or chimeras derived from SIVMAC. However, the usefulness of these models is limited by the fact that HIV-1 and SIVMAC are distinct viruses. Based on an understanding of species-specific restriction factors, we have generated recombinant viruses, named simian tropic HIV (stHIV), that are almost entirely derived from HIV-1 but can replicate in pigtailed macaques. During the last funding cycle we have used animal adaptation to develop stHIV isolates that cause AIDS in pigtail macaques. Additionally, we have studied the effects of known restriction factors on stHIV replication and unveiled the activity of novel, as yet unidentified, inhibitors that are induced by IFN? and limit lentiviral replication in a species-specific manner in primary cells. The aims of this proposal are to further develop stHIV by generating infectious molecular clones that are consistently pathogenic following mucosal challenges in both pigtail and rhesus macaques and are based on HIV-1 strains circulating in humans. To achieve these aims our studies will include a more detailed characterization of restriction factor polymorphism and activity in macaques and how these drive virus evolution in animals. Additionally, we will identify novel IFN?-induced inhibitors that limit stHIV replication in macaque cells and generate stHIV variants that can overcome them. Our preliminary data suggest that these goals are feasible and will lead to the successful development of stHIV, an advance that has the potential to transform non- human primate models for HIV-1 drug and vaccine development.",24121441,0.13655011152709667
5,"HIV-1 replication can be inhibited by type I interferon (IFN), and the expression of a number of gene products with anti-HIV-1 activity is induced by type I IFN. However, none of the known antiretroviral proteins can account for the ability of type I IFN to inhibit early, preintegration phases of the HIV-1 replication cycle in human cells. Here, by comparing gene expression profiles in cell lines that differ in their ability to support the inhibitory action of IFN-ÃÂ± at early steps of the HIV-1 replication cycle, we identify myxovirus resistance 2 (MX2) as an interferon-induced inhibitor of HIV-1 infection. Expression of MX2 reduces permissiveness to a variety of lentiviruses, whereas depletion of MX2 using RNA interference reduces the anti-HIV-1 potency of IFN-ÃÂ±. HIV-1 reverse transcription proceeds normally in MX2-expressing cells, but 2-long terminal repeat circular forms of HIV-1 DNA are less abundant, suggesting that MX2 inhibits HIV-1 nuclear import, or destabilizes nuclear HIV-1 DNA. Consistent with this notion, mutations in the HIV-1 capsid protein that are known, or suspected, to alter the nuclear import pathways used by HIV-1 confer resistance to MX2, whereas preventing cell division increases MX2 potency. Overall, these findings indicate that MX2 is an effector of the anti-HIV-1 activity of type-I IFN, and suggest that MX2 inhibits HIV-1 infection by inhibiting capsid-dependent nuclear import of subviral complexes.","DESCRIPTION (provided by applicant): HIV-1, the predominant cause of AIDS in humans, is unable to replicate in most non-human species. Therefore, the most practical animal model of human AIDS consists of infection of rhesus macaques with SIVMAC or chimeras derived from SIVMAC. However, the usefulness of these models is limited by the fact that HIV-1 and SIVMAC are distinct viruses. Based on an understanding of species-specific restriction factors, we have generated recombinant viruses, named simian tropic HIV (stHIV), that are almost entirely derived from HIV-1 but can replicate in pigtailed macaques. During the last funding cycle we have used animal adaptation to develop stHIV isolates that cause AIDS in pigtail macaques. Additionally, we have studied the effects of known restriction factors on stHIV replication and unveiled the activity of novel, as yet unidentified, inhibitors that are induced by IFN? and limit lentiviral replication in a species-specific manner in primary cells. The aims of this proposal are to further develop stHIV by generating infectious molecular clones that are consistently pathogenic following mucosal challenges in both pigtail and rhesus macaques and are based on HIV-1 strains circulating in humans. To achieve these aims our studies will include a more detailed characterization of restriction factor polymorphism and activity in macaques and how these drive virus evolution in animals. Additionally, we will identify novel IFN?-induced inhibitors that limit stHIV replication in macaque cells and generate stHIV variants that can overcome them. Our preliminary data suggest that these goals are feasible and will lead to the successful development of stHIV, an advance that has the potential to transform non- human primate models for HIV-1 drug and vaccine development.",24121441,0.16134729262492073
6,Oncolytic viral efficacy may be limited by the penetration of the virus into tumors. This may be enhanced by intraoperative application of virus immediately after surgical resection.,"DESCRIPTION (provided by applicant): Originally awarded in 1992, this application requests a five-year renewal of the T32 Head and Neck Training Program in Surgical Oncology at Memorial Sloan-Kettering Cancer Center (MSKCC). The mission of the Head and Neck T32 program is to train a highly selected group of talented head and neck oncologic surgeons to become high-caliber translational scientists and future academic leaders who will be positioned to advance the management of head and neck cancers. MSKCC, an NCI- designated comprehensive cancer center, provides a fertile environment rich in scientific and clinical resources that support intensive training in translational research. This T32's research training strategy integrates the following key components: (1) a committed and experienced Program Faculty spanning a wide range of scientific disciplines, with established track records of successful mentorship, (2) immersion into rigorous scientific research training in an R01-funded laboratory with appropriate guidance, (3) didactic research coursework, and (4) career development workshops. Each year, two new postdoctoral (MD or MD/PhD degrees) trainees are appointed to the Head and Neck T32 training grant for two contiguous years of dedicated research training. During this period, Head and Neck T32 trainees engage full-time in basic or translational mentored research related to head and neck cancers. Areas of potential research include genomics, molecular biology, cell biology, signal transduction, immunology, transgenic mouse modeling, chemoprevention, experimental therapeutics, and others. Research projects are matched to the particular academic interests and goals of the T32 trainee. Head and NeckT32 trainees will also enter a formal didactic program in head and neck oncology and research training, designed to supplement their individualized mentored research training. Career development workshops and seminars will help to prepare the T32 trainee for a successful competitive academic career. These workshops focus on grant writing skills, applying for career development awards, and developing the tools necessary for future independent research support. Head and Neck T32 trainees will be monitored closely and are expected to meet training milestones at designated time points. Specific expectations are delineated for trainee publications, grant submissions, national meeting presentations, and attendance at didactic conferences. Historically, a high proportion of trainees supported by the MSKCC Head and Neck T32 training program have entered academic head and neck surgical oncology and gone on to become prominent figures in the field, reflecting the effectiveness of this continuing program.",25244076,0.35393662037675283
7,"Minimally invasive video-assisted thyroidectomy (MIVAT) advantages include a smaller incision, less extensive surgical dissection, improved visualization secondary to rigid fiberoptics, and decreased postoperative pain. The aims of our study were to report our experience using expanded indications of MIVAT.","DESCRIPTION (provided by applicant): Originally awarded in 1992, this application requests a five-year renewal of the T32 Head and Neck Training Program in Surgical Oncology at Memorial Sloan-Kettering Cancer Center (MSKCC). The mission of the Head and Neck T32 program is to train a highly selected group of talented head and neck oncologic surgeons to become high-caliber translational scientists and future academic leaders who will be positioned to advance the management of head and neck cancers. MSKCC, an NCI- designated comprehensive cancer center, provides a fertile environment rich in scientific and clinical resources that support intensive training in translational research. This T32's research training strategy integrates the following key components: (1) a committed and experienced Program Faculty spanning a wide range of scientific disciplines, with established track records of successful mentorship, (2) immersion into rigorous scientific research training in an R01-funded laboratory with appropriate guidance, (3) didactic research coursework, and (4) career development workshops. Each year, two new postdoctoral (MD or MD/PhD degrees) trainees are appointed to the Head and Neck T32 training grant for two contiguous years of dedicated research training. During this period, Head and Neck T32 trainees engage full-time in basic or translational mentored research related to head and neck cancers. Areas of potential research include genomics, molecular biology, cell biology, signal transduction, immunology, transgenic mouse modeling, chemoprevention, experimental therapeutics, and others. Research projects are matched to the particular academic interests and goals of the T32 trainee. Head and NeckT32 trainees will also enter a formal didactic program in head and neck oncology and research training, designed to supplement their individualized mentored research training. Career development workshops and seminars will help to prepare the T32 trainee for a successful competitive academic career. These workshops focus on grant writing skills, applying for career development awards, and developing the tools necessary for future independent research support. Head and Neck T32 trainees will be monitored closely and are expected to meet training milestones at designated time points. Specific expectations are delineated for trainee publications, grant submissions, national meeting presentations, and attendance at didactic conferences. Historically, a high proportion of trainees supported by the MSKCC Head and Neck T32 training program have entered academic head and neck surgical oncology and gone on to become prominent figures in the field, reflecting the effectiveness of this continuing program.",21990219,0.3462838745054991
8,"Cancer-specific alterations in DNA methylation are hallmarks of human malignancies; however, the nature of the breast cancer epigenome and its effects on metastatic behavior remain obscure. To address this issue, we used genome-wide analysis to characterize the methylomes of breast cancers with diverse metastatic behavior. Groups of breast tumors were characterized by the presence or absence of coordinate hypermethylation at a large number of genes, demonstrating a breast CpG island methylator phenotype (B-CIMP). The B-CIMP provided a distinct epigenomic profile and was a strong determinant of metastatic potential. Specifically, the presence of the B-CIMP in tumors was associated with low metastatic risk and survival, and the absence of the B-CIMP was associated with high metastatic risk and death. B-CIMP loci were highly enriched for genes that make up the metastasis transcriptome. Methylation at B-CIMP genes accounted for much of the transcriptomal diversity between breast cancers of varying prognosis, indicating a fundamental epigenomic contribution to metastasis. Comparison of the loci affected by the B-CIMP with those affected by the hypermethylator phenotype in glioma and colon cancer revealed that the CIMP signature was shared by multiple human malignancies. Our data provide a unifying epigenomic framework linking breast cancers with varying outcome and transcriptomic changes underlying metastasis. These findings significantly enhance our understanding of breast cancer oncogenesis and aid the development of new prognostic biomarkers for this common malignancy.","DESCRIPTION (provided by applicant): Originally awarded in 1992, this application requests a five-year renewal of the T32 Head and Neck Training Program in Surgical Oncology at Memorial Sloan-Kettering Cancer Center (MSKCC). The mission of the Head and Neck T32 program is to train a highly selected group of talented head and neck oncologic surgeons to become high-caliber translational scientists and future academic leaders who will be positioned to advance the management of head and neck cancers. MSKCC, an NCI- designated comprehensive cancer center, provides a fertile environment rich in scientific and clinical resources that support intensive training in translational research. This T32's research training strategy integrates the following key components: (1) a committed and experienced Program Faculty spanning a wide range of scientific disciplines, with established track records of successful mentorship, (2) immersion into rigorous scientific research training in an R01-funded laboratory with appropriate guidance, (3) didactic research coursework, and (4) career development workshops. Each year, two new postdoctoral (MD or MD/PhD degrees) trainees are appointed to the Head and Neck T32 training grant for two contiguous years of dedicated research training. During this period, Head and Neck T32 trainees engage full-time in basic or translational mentored research related to head and neck cancers. Areas of potential research include genomics, molecular biology, cell biology, signal transduction, immunology, transgenic mouse modeling, chemoprevention, experimental therapeutics, and others. Research projects are matched to the particular academic interests and goals of the T32 trainee. Head and NeckT32 trainees will also enter a formal didactic program in head and neck oncology and research training, designed to supplement their individualized mentored research training. Career development workshops and seminars will help to prepare the T32 trainee for a successful competitive academic career. These workshops focus on grant writing skills, applying for career development awards, and developing the tools necessary for future independent research support. Head and Neck T32 trainees will be monitored closely and are expected to meet training milestones at designated time points. Specific expectations are delineated for trainee publications, grant submissions, national meeting presentations, and attendance at didactic conferences. Historically, a high proportion of trainees supported by the MSKCC Head and Neck T32 training program have entered academic head and neck surgical oncology and gone on to become prominent figures in the field, reflecting the effectiveness of this continuing program.",21430268,0.24531610683871635
9,"The head and neck region poses a challenging arena for oncologic surgery. Diseases and their treatment can affect a myriad of functions, including sight, hearing, taste, smell, breathing, speaking, swallowing, facial expression, and appearance. This review discusses several areas where refinements in surgical techniques have led to improved patient outcomes. This includes surgical incisions, neck lymphadenectomy, transoral laser microsurgery, minimally invasive thyroid surgery, and the use of vascularized free flaps for oromandibular reconstruction.","DESCRIPTION (provided by applicant): Originally awarded in 1992, this application requests a five-year renewal of the T32 Head and Neck Training Program in Surgical Oncology at Memorial Sloan-Kettering Cancer Center (MSKCC). The mission of the Head and Neck T32 program is to train a highly selected group of talented head and neck oncologic surgeons to become high-caliber translational scientists and future academic leaders who will be positioned to advance the management of head and neck cancers. MSKCC, an NCI- designated comprehensive cancer center, provides a fertile environment rich in scientific and clinical resources that support intensive training in translational research. This T32's research training strategy integrates the following key components: (1) a committed and experienced Program Faculty spanning a wide range of scientific disciplines, with established track records of successful mentorship, (2) immersion into rigorous scientific research training in an R01-funded laboratory with appropriate guidance, (3) didactic research coursework, and (4) career development workshops. Each year, two new postdoctoral (MD or MD/PhD degrees) trainees are appointed to the Head and Neck T32 training grant for two contiguous years of dedicated research training. During this period, Head and Neck T32 trainees engage full-time in basic or translational mentored research related to head and neck cancers. Areas of potential research include genomics, molecular biology, cell biology, signal transduction, immunology, transgenic mouse modeling, chemoprevention, experimental therapeutics, and others. Research projects are matched to the particular academic interests and goals of the T32 trainee. Head and NeckT32 trainees will also enter a formal didactic program in head and neck oncology and research training, designed to supplement their individualized mentored research training. Career development workshops and seminars will help to prepare the T32 trainee for a successful competitive academic career. These workshops focus on grant writing skills, applying for career development awards, and developing the tools necessary for future independent research support. Head and Neck T32 trainees will be monitored closely and are expected to meet training milestones at designated time points. Specific expectations are delineated for trainee publications, grant submissions, national meeting presentations, and attendance at didactic conferences. Historically, a high proportion of trainees supported by the MSKCC Head and Neck T32 training program have entered academic head and neck surgical oncology and gone on to become prominent figures in the field, reflecting the effectiveness of this continuing program.",20512941,0.31185076257828165
