,GRID,Pub_count,renewed,ADMINISTERING_IC,TOTAL_COST,GR_Total_year
358,F30NS068003,1,1,NS,32845,1
419,F31AG039247,1,1,AG,31801,1
501,F31DC010533,3,1,DC,38914,1
507,F31DC010931,3,1,DC,27229,1
527,F31DC011218,4,1,DC,27631,1
622,F31MH088850,4,1,MH,41380,1
633,F31MH090685,4,1,MH,41079,1
644,F31MH092994,2,1,MH,29953,1
650,F31MH093264,4,1,MH,32690,1
657,F31NR011563,2,1,NR,28751,1
672,F31NR012600,1,0,NR,30280,1
673,F31NR012604,1,1,NR,34292,1
679,F31NS066702,1,1,NS,27298,1
692,F31NS068028,6,1,NS,28380,1
703,F31NS068041,2,1,NS,31609,1
727,F32AG037210,1,0,AG,37667,1
730,F32AG039165,1,1,AG,47606,1
733,F32AI082890,1,0,AI,21685,1
887,F32DK091004,1,1,DK,45590,1
893,F32ES019057,4,1,ES,47606,1
899,F32EY020040,4,1,EY,51374,1
903,F32GM086948,1,1,GM,47606,1
914,F32GM090405,1,0,GM,17177,1
917,F32GM090475,7,1,GM,45590,1
924,F32GM090486,2,1,GM,47606,1
998,F32GM095036,1,1,GM,50474,1
1015,F32GM095284,1,0,GM,33591,1
1130,F32MH093109,2,1,MH,47606,1
1135,F32NS061419,3,1,NS,50474,1
1138,F32NS062515,1,1,NS,59918,1
1146,F32NS067891,1,1,NS,50474,1
1245,K01AR057828,3,1,AR,125361,1
1255,K01AT004404,1,1,AT,116820,1
1256,K01AT005093,1,1,AT,125581,1
1270,K01CA140358,4,1,CA,7945,1
1279,K01CA148789,6,1,CA,7621,1
1316,K01DA027756,7,1,DA,128604,1
1363,K01DK085194,1,1,DK,38620,1
1420,K01DK089121,2,1,DK,47851,1
1437,K01ES017105,1,1,ES,131085,1
1461,K01HD060886,3,1,HD,122427,1
1508,K01MH083694,4,1,MH,179163,1
1512,K01MH085812,4,1,MH,155595,1
1536,K01MH087845,1,1,MH,161011,1
1890,K08CA143902,3,1,CA,7128,1
2087,K08HL095655,1,1,HL,138215,1
2096,K08HL098373,3,1,HL,113689,1
2099,K08HL098560,1,1,HL,131166,1
2184,K08NS066099,4,1,NS,109107,1
2188,K08NS067024,2,1,NS,4731,1
2539,K23DK085204,10,1,DK,180007,1
2587,K23DK088532,3,1,DK,186136,1
2650,K23GM087534,2,1,GM,113740,1
2753,K23HD063261,2,1,HD,108391,1
2929,K23MH083027,11,1,MH,177192,1
2946,K23MH085730,3,1,MH,148462,1
2962,K23MH086338,6,1,MH,182790,1
2996,K23MH087741,6,1,MH,135688,1
3007,K23MH087770,20,1,MH,143617,1
3284,K24HL098372,20,1,HL,156819,1
3402,K25HL098807,6,1,HL,155374,1
3417,K25MH089851,1,1,MH,141993,1
3517,K99ES017744,1,0,ES,75845,1
3969,P01CA140043,6,1,CA,1,1
4198,P20ES018163,4,1,ES,324092,1
4205,P20ES018169,4,1,ES,373533,1
4232,P20ES018175,5,1,ES,317568,1
4929,R01AA018153,2,1,AA,330466,1
5178,R01AG034154,7,1,AG,20175,1
5484,R01AI078183,2,1,AI,689552,1
5491,R01AI078962,3,1,AI,873823,1
5519,R01AI080775,2,1,AI,96383,1
5535,R01AI081559,1,1,AI,207905,1
5536,R01AI081625,4,1,AI,513666,1
5540,R01AI081651,1,1,AI,477500,1
5545,R01AI081724,3,1,AI,442500,1
5597,R01AI081921,1,1,AI,83495,1
5631,R01AI083279,1,1,AI,377750,1
5658,R01AI083365,1,1,AI,421665,1
5714,R01AI085046,1,1,AI,385000,1
5740,R01AI085161,4,1,AI,337000,1
5761,R01AI087135,3,1,AI,342348,1
5801,R01AI087528,1,1,AI,386250,1
5896,R01AI087917,7,1,AI,437035,1
6184,R01AR056343,2,1,AR,356756,1
6235,R01AR057172,5,1,AR,542106,1
6245,R01AR057344,1,1,AR,347625,1
6250,R01AR057362,1,1,AR,98811,1
6461,R01CA123362,4,1,CA,315400,1
6467,R01CA124951,1,1,CA,310586,1
6476,R01CA128800,2,1,CA,266301,1
6514,R01CA133697,3,1,CA,420659,1
6517,R01CA133881,4,1,CA,674105,1
6521,R01CA134261,5,1,CA,322351,1
6527,R01CA134466,5,1,CA,225877,1
6533,R01CA134563,1,1,CA,161850,1
6538,R01CA134658,2,1,CA,346918,1
6549,R01CA134700,3,1,CA,260480,1
6552,R01CA134731,1,1,CA,303988,1
6563,R01CA134891,1,1,CA,323341,1
6564,R01CA134951,3,1,CA,326209,1
6642,R01CA136799,3,1,CA,315400,1
6659,R01CA136945,2,1,CA,313533,1
6695,R01CA138398,3,1,CA,163925,1
6718,R01CA138456,7,1,CA,549061,1
6725,R01CA138468,1,1,CA,487937,1
6740,R01CA138547,6,1,CA,287877,1
6766,R01CA138628,1,1,CA,162369,1
6767,R01CA138631,5,1,CA,313948,1
6805,R01CA138649,1,1,CA,354079,1
6814,R01CA138701,14,1,CA,318513,1
6828,R01CA138720,1,1,CA,365200,1
6846,R01CA138734,7,1,CA,355592,1
6853,R01CA138744,2,1,CA,348600,1
6880,R01CA138882,12,1,CA,301604,1
6898,R01CA138899,1,1,CA,50243,1
6903,R01CA138923,7,1,CA,160813,1
6922,R01CA139020,12,1,CA,3278944,1
6934,R01CA139043,2,1,CA,328888,1
6946,R01CA139319,3,1,CA,362088,1
6950,R01CA140102,1,1,CA,171706,1
6951,R01CA140182,3,1,CA,317475,1
6955,R01CA140197,1,1,CA,151994,1
6976,R01CA140319,15,1,CA,249830,1
6991,R01CA140323,11,1,CA,423060,1
7010,R01CA140326,2,1,CA,613680,1
7027,R01CA140413,1,1,CA,153550,1
7047,R01CA140472,3,1,CA,276779,1
7059,R01CA140487,6,1,CA,307561,1
7067,R01CA140522,7,1,CA,302950,1
7075,R01CA140545,1,1,CA,178372,1
7083,R01CA140574,4,1,CA,367275,1
7163,R01CA140995,3,1,CA,342375,1
7222,R01CA142362,1,1,CA,306063,1
7225,R01CA142545,5,1,CA,357858,1
7230,R01CA142580,11,1,CA,303826,1
7241,R01CA142587,7,1,CA,392202,1
7285,R01CA142723,14,1,CA,331135,1
7316,R01CA142737,4,1,CA,292639,1
7345,R01CA142750,14,1,CA,518564,1
7362,R01CA142776,12,1,CA,331309,1
7384,R01CA142809,2,1,CA,137479,1
7386,R01CA142824,6,1,CA,405051,1
7404,R01CA142845,1,1,CA,303988,1
7421,R01CA142874,1,1,CA,473271,1
7422,R01CA142928,6,1,CA,181044,1
7447,R01CA142989,2,1,CA,625224,1
7452,R01CA143083,2,1,CA,323146,1
7454,R01CA143094,7,1,CA,289463,1
7461,R01CA143107,5,1,CA,321625,1
7484,R01CA143167,4,1,CA,355729,1
7536,R01CA143815,3,1,CA,312288,1
7540,R01CA144034,15,1,CA,1546796,1
7599,R01CA148747,4,1,CA,163614,1
7621,R01CA148761,1,1,CA,464834,1
7650,R01CA148806,3,1,CA,307169,1
7662,R01CA148867,1,1,CA,161850,1
7664,R01CA148996,6,1,CA,343413,1
7821,R01CA150265,20,1,CA,479935,1
7892,R01CA151566,2,1,CA,184720,1
7927,R01CA151962,1,1,CA,166052,1
7945,R01CA152089,4,1,CA,165817,1
7949,R01CA152101,2,1,CA,274104,1
8015,R01CA152601,4,1,CA,183900,1
8101,R01DA025065,1,1,DA,689364,1
8154,R01DA026770,6,1,DA,545318,1
8307,R01DA028763,6,1,DA,599895,1
8506,R01DC009222,2,1,DC,34708,1
8564,R01DC010191,3,1,DC,208064,1
9527,R01EB009690,2,1,EB,360000,1
9534,R01EB009715,6,1,EB,483173,1
9592,R01EB010049,1,1,EB,341807,1
9730,R01ES016769,1,1,ES,655726,1
9742,R01ES017286,2,1,ES,331688,1
9777,R01ES017457,1,1,ES,40371,1
9793,R01ES017875,5,1,ES,463860,1
9927,R01ES019313,20,1,ES,308250,1
10088,R01EY019885,1,1,EY,313536,1
10091,R01EY019888,2,1,EY,304000,1
10100,R01EY019967,5,1,EY,407972,1
10126,R01EY020582,3,1,EY,159151,1
10207,R01GM081382,5,1,GM,263917,1
10335,R01GM086619,1,1,GM,255240,1
10439,R01GM087558,3,1,GM,504960,1
10442,R01GM087575,2,1,GM,297502,1
10579,R01GM088396,6,1,GM,341637,1
10797,R01GM090029,2,1,GM,307000,1
10826,R01GM090187,3,1,GM,1,1
11269,R01GM096458,2,1,GM,16631,1
11721,R01HG005254,1,1,HG,232165,1
11809,R01HL088434,5,1,HL,420275,1
11817,R01HL090634,12,1,HL,428768,1
11835,R01HL092097,5,1,HL,581716,1
11843,R01HL092985,2,1,HL,405991,1
11845,R01HL092991,1,1,HL,392500,1
11848,R01HL093017,1,1,HL,413750,1
11858,R01HL093469,2,1,HL,407951,1
11862,R01HL094384,2,1,HL,351000,1
11873,R01HL094557,5,1,HL,597140,1
11895,R01HL094677,1,1,HL,434063,1
11930,R01HL095454,1,1,HL,365000,1
11935,R01HL095541,7,1,HL,380704,1
11942,R01HL095566,1,1,HL,372500,1
11943,R01HL095571,1,1,HL,401020,1
11962,R01HL095634,1,1,HL,398541,1
11968,R01HL095699,1,1,HL,425000,1
11977,R01HL095712,4,1,HL,428125,1
11983,R01HL095783,4,1,HL,366250,1
11988,R01HL095787,5,1,HL,387500,1
12011,R01HL095852,15,1,HL,371459,1
12028,R01HL095896,2,1,HL,373750,1
12055,R01HL096305,1,1,HL,385000,1
12117,R01HL096916,9,1,HL,432237,1
12155,R01HL097111,10,1,HL,395000,1
12166,R01HL097365,9,1,HL,415000,1
12205,R01HL098220,2,1,HL,635429,1
12208,R01HL098228,3,1,HL,413750,1
12212,R01HL098243,2,0,HL,269025,1
12248,R01HL098297,1,1,HL,823384,1
12282,R01HL098489,5,1,HL,735238,1
12290,R01HL098511,2,1,HL,392500,1
12292,R01HL098538,1,1,HL,664239,1
12308,R01HL098830,5,1,HL,362665,1
12317,R01HL098912,4,1,HL,737860,1
12328,R01HL098950,20,1,HL,406250,1
12607,R01HL103869,6,1,HL,2500,1
12613,R01HL103920,1,1,HL,86665,1
12794,R01HL105294,14,1,HL,387500,1
12952,R01MH081148,1,1,MH,447909,1
12965,R01MH083704,2,1,MH,518586,1
12968,R01MH083711,1,1,MH,396250,1
12969,R01MH083744,20,1,MH,497720,1
13007,R01MH083857,1,1,MH,351000,1
13043,R01MH085069,5,1,MH,323197,1
13060,R01MH085298,9,1,MH,396250,1
13070,R01MH085324,1,1,MH,421590,1
13193,R01MH086518,1,1,MH,409000,1
13272,R01MH087610,11,1,MH,306614,1
13609,R01NS057670,3,1,NS,261498,1
13613,R01NS060125,3,1,NS,332228,1
13623,R01NS062182,7,1,NS,322745,1
13659,R01NS064084,3,1,NS,326892,1
13709,R01NS065053,3,1,NS,332500,1
13720,R01NS065219,1,1,NS,334688,1
13721,R01NS065237,4,1,NS,96781,1
13884,R01NS067216,6,1,NS,326206,1
13890,R01NS067288,1,1,NS,326900,1
13901,R01NS067557,1,1,NS,211863,1
13919,R01NS069628,2,1,NS,342606,1
14215,R01RR025881,1,1,RR,406250,1
14304,R03AR057547,5,1,AR,76500,1
14362,R03DA027942,2,1,DA,4141,1
14398,R03DC010878,1,1,DC,23807,1
14454,R03DK089130,14,1,DK,1,1
14507,R03ES017860,1,1,ES,75250,1
14568,R03HG005225,3,1,HG,37000,1
14577,R03MH090426,1,1,MH,71823,1
14728,R15EY020803,1,0,EY,3824,1
14986,R21AI085523,1,1,AI,139719,1
15075,R21AI088445,1,1,AI,66150,1
15190,R21AT005085,3,1,AT,5340,1
15283,R21CA139290,1,1,CA,191183,1
15295,R21CA141324,5,1,CA,184331,1
15342,R21CA143242,2,1,CA,216226,1
15348,R21CA143331,2,1,CA,174497,1
15365,R21CA143683,1,1,CA,173980,1
15366,R21CA143736,2,1,CA,164756,1
15574,R21DC009879,6,1,DC,225000,1
15583,R21DC009986,3,1,DC,214063,1
15623,R21DC010460,1,1,DC,236421,1
15805,R21EB009370,5,1,EB,233025,1
15812,R21EB009435,4,1,EB,253500,1
15974,R21EY019991,3,1,EY,246000,1
16011,R21HD059043,1,1,HD,246745,1
16022,R21HD060978,1,1,HD,160500,1
16182,R21HL095957,1,1,HL,232449,1
16210,R21HL098711,4,1,HL,248250,1
16214,R21HL098750,4,1,HL,211600,1
16219,R21HL098765,7,1,HL,171543,1
16329,R21MH085230,1,1,MH,142421,1
16334,R21MH086805,1,1,MH,219368,1
16413,R21NS060675,1,1,NS,231000,1
16414,R21NS064185,1,1,NS,188125,1
16443,R21NS067513,1,1,NS,180000,1
16477,R21NS071216,1,1,NS,17760,1
16906,R34MH085796,1,1,MH,16652,1
17020,R43CA153927,1,0,CA,116370,1
17042,R43GM090392,1,1,GM,251293,1
17051,R43HL102981,2,0,HL,238527,1
17096,R44ES018017,40,1,ES,348293,1
17176,R44HG005279,2,1,HG,146400,1
17388,R56AI090072,6,0,AI,23510,1
16,D43CA153715,2,1,CA,531157,2
18,D43CA153722,8,1,CA,460134,2
26,D43CA153784,1,1,CA,535300,2
27,D43CA153792,4,1,CA,539964,2
31,D43TW008261,3,1,TW,157198,2
34,D43TW008317,1,1,TW,219999,2
35,D43TW008330,1,1,TW,220000,2
36,D43TW008332,20,1,TW,214598,2
56,D43TW008633,20,1,TW,299257,2
79,D43TW008650,2,1,TW,148834,2
81,D43TW008652,1,1,TW,131655,2
82,D43TW008660,20,1,TW,93309,2
102,DP1DA031126,1,1,DA,965000,2
104,DP1DA031340,1,1,DA,788500,2
105,DP1DA031386,4,1,DA,785000,2
109,DP1DA031387,5,1,DA,765000,2
114,DP1DA031401,1,1,DA,750000,2
115,DP1OD006779,1,1,OD,830000,2
116,DP1OD006798,6,1,OD,785000,2
125,DP1OD006825,2,1,OD,827500,2
127,DP1OD006849,2,1,OD,847500,2
129,DP1OD006850,2,1,OD,827500,2
131,DP1OD006862,1,1,OD,885000,2
132,DP1OD006911,1,1,OD,848000,2
133,DP1OD006933,4,1,OD,775455,2
137,DP1OD006961,5,1,OD,810000,2
142,DP1OD006990,1,1,OD,949500,2
279,F30AA019587,1,1,AA,29261,2
280,F30AA020159,1,1,AA,44784,2
281,F30AA020167,7,1,AA,31264,2
288,F30AG038111,1,1,AG,27130,2
289,F30AG038275,1,1,AG,46380,2
290,F30AG039164,3,1,AG,46380,2
293,F30AG039175,2,1,AG,44318,2
295,F30DC011241,1,1,DC,37168,2
296,F30DK083215,4,1,DK,38517,2
300,F30DK084653,1,1,DK,30977,2
301,F30DK084699,1,1,DK,43822,2
302,F30DK085906,4,1,DK,29677,2
306,F30DK088402,1,1,DK,41100,2
307,F30DK088518,3,1,DK,31974,2
310,F30DK089687,2,1,DK,32704,2
314,F30DK089697,2,1,DK,37980,2
317,F30DK089714,2,1,DK,42106,2
319,F30DK091057,2,1,DK,25380,2
322,F30ES017379,3,1,ES,39025,2
325,F30ES019048,4,1,ES,28705,2
329,F30ES019394,1,1,ES,46380,2
330,F30ES019463,3,1,ES,32027,2
333,F30ES019464,1,1,ES,39025,2
334,F30HL099019,1,1,HL,27455,2
335,F30HL099028,1,1,HL,32753,2
336,F30HL099271,1,1,HL,41629,2
337,F30HL103072,5,1,HL,25905,2
342,F30HL103147,1,1,HL,26831,2
343,F30HL103193,1,1,HL,30710,2
344,F30HL104778,2,1,HL,28823,2
346,F30HL104892,6,1,HL,33322,2
352,F30MH087409,2,0,MH,17650,2
354,F30MH087998,1,1,MH,29806,2
355,F30MH093002,2,1,MH,28387,2
357,F30MH093125,1,1,MH,30857,2
359,F30NS068005,3,1,NS,32632,2
362,F30NS068006,3,1,NS,29806,2
365,F30NS070359,1,1,NS,46380,2
366,F30NS070376,2,1,NS,27539,2
368,F30NS071630,2,1,NS,26642,2
370,F31AA017565,4,0,AA,33731,2
374,F31AA018248,4,1,AA,29417,2
378,F31AA018587,1,1,AA,26968,2
379,F31AA018615,2,1,AA,39841,2
381,F31AA018887,1,1,AA,32151,2
382,F31AA018909,1,1,AA,31013,2
383,F31AA018926,2,1,AA,41380,2
385,F31AA018935,1,1,AA,41380,2
