,ADMINISTERING_IC,APPLICATION_TYPE,BUDGET_START,BUDGET_END,CORE_PROJECT_NUM,FY,SUPPORT_YEAR,TOTAL_COST,PMID,PubDate,PubTypeList,FullJournalName,GRID,GR_Star_year,GR_End_year,GR_Total_year,Pub_year,time_to_pub
0,RR,1,1/14/10,1/13/15,C06RR029852,2010,1,14682885.0,21540427,2011 May 4,"['Comment', 'Editorial']",JAMA,C06RR029852,2010,2015,5,2011,1
1,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,26777474,2016 Mar 15,['Journal Article'],Journal of neuroscience methods,C06RR029965,2010,2014,4,2016,6
2,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,26595808,2016 Jan,['Journal Article'],JAMA neurology,C06RR029965,2010,2014,4,2016,6
3,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,26469053,2015 Oct 15,['Journal Article'],Nature,C06RR029965,2010,2014,4,2015,5
4,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,26255945,2016 Feb,['Journal Article'],"Cerebellum (London, England)",C06RR029965,2010,2014,4,2016,6
5,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,25492685,2015 Feb,['Journal Article'],Fertility and sterility,C06RR029965,2010,2014,4,2015,5
6,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,25376457,2015 Jan,['Journal Article'],"Human reproduction (Oxford, England)",C06RR029965,2010,2014,4,2015,5
7,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,25355961,2015 Jan 15,['Journal Article'],Journal of neurophysiology,C06RR029965,2010,2014,4,2015,5
8,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,24920627,2014 Jun 11,['Journal Article'],The Journal of neuroscience : the official journal of the Society for Neuroscience,C06RR029965,2010,2014,4,2014,4
9,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,24514572,2014 Apr,"['Journal Article', 'Multicenter Study']",JAMA neurology,C06RR029965,2010,2014,4,2014,4
10,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,24105752,2013 Dec,['Journal Article'],Prenatal diagnosis,C06RR029965,2010,2014,4,2013,3
11,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,24105472,2014 Feb 1,['Journal Article'],Human molecular genetics,C06RR029965,2010,2014,4,2014,4
12,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,24067533,2014 Feb 15,['Journal Article'],Human molecular genetics,C06RR029965,2010,2014,4,2014,4
13,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,24018918,2013 Nov,"['Comment', 'Editorial']",JAMA neurology,C06RR029965,2010,2014,4,2013,3
14,RR,1,3/25/10,3/24/14,C06RR029965,2010,1,14895273.0,23788431,2013 Aug 15,['Journal Article'],Journal of cell science,C06RR029965,2010,2014,4,2013,3
15,RR,1,4/1/10,9/30/13,C06RR030524,2010,1,14996000.0,25857407,2015 Jul 15,['Journal Article'],ACS chemical neuroscience,C06RR030524,2010,2013,3,2015,5
16,CA,1,8/27/10,7/31/11,D43CA153715,2010,1,531157.0,25853380,2015 Jun,['Journal Article'],International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,D43CA153715,2010,2011,1,2015,5
